t, x, y, z, x', y', z', x'', y'', z''
8640.0, -21802694.007721584, 39652656.29048041, -16064229.828413881, -3143.5796368658002, 2604.7369578398057, -2316.1901805641114, 0.07848711444761315, -0.1427449751961699, 0.057829323505111226
8660.0, -21865549.908567935, 39704722.50562444, -16110542.070236377, -3142.0118990469705, 2601.8879378254, -2315.035070988049, 0.07828688971061487, -0.14215794592263262, 0.05768179787404305
8680.0, -21928374.494673975, 39756731.85758224, -16156831.239351192, -3140.4481583977813, 2599.050620915544, -2313.8829065274567, 0.07808739670213788, -0.14157465750347034, 0.05753481138071325
8700.0, -21991167.8458368, 39808684.57966973, -16203097.394552885, -3138.8884003086796, 2596.224932614191, -2312.733676418049, 0.07788863291831545, -0.14099507790751228, 0.057388362180272406
8720.0, -22053930.041561924, 39860580.903719224, -16249340.594421072, -3137.332610220317, 2593.4107990624916, -2311.587369932463, 0.07769059584648486, -0.14041917544587973, 0.0572424484213898
8740.0, -22116661.161064144, 39912421.060091764, -16295560.897321219, -3135.7807736236473, 2590.6081470319973, -2310.443976380436, 0.07749328296572726, -0.1398469187676254, 0.05709706824665185
8760.0, -22179361.283268515, 39964205.27769029, -16341758.361405367, -3134.2328760601345, 2587.8169039179147, -2309.303485108929, 0.07729669174739015, -0.13927827685543268, 0.05695221979294695
8780.0, -22242030.486811455, 40015933.78397194, -16387933.044612894, -3132.688903121888, 2585.0369977324985, -2308.16588550221, 0.07710081965559892, -0.13871321902138117, 0.05680790119184228
8800.0, -22304668.850041706, 40067606.80496026, -16434085.00467111, -3131.1488404518195, 2582.2683570985, -2307.0311669819444, 0.07690566414775472, -0.1381517149027744, 0.056664110569950264
8820.0, -22367276.45102147, 40119224.565257005, -16480214.299096284, -3129.6126737437307, 2579.5109112427144, -2305.8993190073465, 0.0767112226750199, -0.13759373445802797, 0.056520846049286776
8840.0, -22429853.367527243, 40170787.28805479, -16526320.98519416, -3128.080388742466, 2576.764589989577, -2304.7703310752054, 0.07651749268278743, -0.1370392479626179, 0.056378105747616834
8860.0, -22492399.677050967, 40222295.195148446, -16572405.120060857, -3126.5519712440314, 2574.0293237549004, -2303.6441927199958, 0.07632447161114156, -0.13648822600508811, 0.05623588777879406
8880.0, -22554915.456801116, 40273748.50694699, -16618466.760583403, -3125.027407095656, 2571.305043539593, -2302.5208935139926, 0.07613215689530461, -0.1359406394831168, 0.056094190253089024
8900.0, -22617400.783703387, 40325147.44248556, -16664505.96344087, -3123.5066821959313, 2568.5916809235578, -2301.400423067262, 0.07594054596606938, -0.13539645959963803, 0.05595301127750999
8920.0, -22679855.73440221, 40376492.21943612, -16710522.785104817, -3121.9897824948584, 2565.8891680596316, -2300.282771027743, 0.07574963625022653, -0.1348556578590226, 0.055812348956115455
8940.0, -22742280.38526134, 40427783.05411966, -16756517.281840121, -3120.4766939939555, 2563.197437667567, -2299.1679270813624, 0.0755594251709728, -0.13431820606331166, 0.05567220139031638
8960.0, -22804674.81236508, 40479020.16151729, -16802489.509705804, -3118.9674027462743, 2560.516423028129, -2298.0558809520053, 0.07536991014831267, -0.13378407630850528, 0.05553256667917176
8980.0, -22867039.091519497, 40530203.75528126, -16848439.524555538, -3117.4618948565476, 2557.846057977264, -2296.9466224016332, 0.07518108859944919, -0.13325324098090527, 0.0553934429196754
9000.0, -22929373.29825331, 40581334.047745466, -16894367.382038947, -3115.960156481144, 2555.1862769003037, -2295.840141230258, 0.0749929579391643, -0.13272567275351102, 0.055254828207038226
9020.0, -22991677.50781844, 40632411.24993783, -16940273.13760183, -3114.4621738281744, 2552.537014726283, -2294.7364272760237, 0.07480551558018309, -0.13220134458246546, 0.055116720634956005
9040.0, -23053951.795191817, 40683435.571589924, -16986156.846487228, -3112.9679331575066, 2549.898206922319, -2293.635470415192, 0.07461875893353709, -0.1316802297035525, 0.05497911829587632
9060.0, -23116196.235076163, 40734407.22114757, -17032018.563736, -3111.477420780822, 2547.2697894880484, -2292.537260562204, 0.07443268540891425, -0.1311623016287473, 0.054842019281256205
9080.0, -23178410.90190096, 40785326.4057826, -17077858.344187696, -3109.9906230615993, 2544.651698950108, -2291.441787669662, 0.07424729241499367, -0.13064753414280963, 0.05470542168180954
9100.0, -23240595.86982305, 40836193.33140206, -17123676.24248137, -3108.50752641516, 2542.043872356779, -2290.349041728379, 0.07406257735978017, -0.1301359012999355, 0.054569323587754556
9120.0, -23302751.2127285, 40887008.202659525, -17169472.31305623, -3107.0281173086787, 2539.4462472725486, -2289.2590127673493, 0.07387853765092277, -0.12962737742044467, 0.054433723089046294
9140.0, -23364877.004233375, 40937771.22296452, -17215246.610152386, -3105.552382261136, 2536.8587617728595, -2288.1716908537805, 0.07369517069602993, -0.1291219370875254, 0.05429861827560935
9160.0, -23426973.31768409, 40988482.59449366, -17260999.18781167, -3104.080307843401, 2534.281354438945, -2287.0870660930673, 0.07351247390296853, -0.12861955514402018, 0.054164007237560007
9180.0, -23489040.226159424, 41039142.51819965, -17306730.09987859, -3102.611880678168, 2531.713964352541, -2286.0051286288226, 0.07333044468016342, -0.1281202066892575, 0.054029888065425316
9200.0, -23551077.80247118, 41089751.19382223, -17352439.40000084, -3101.1470874399556, 2529.1565310909223, -2284.9258686428084, 0.07314908043688095, -0.1276238670759279, 0.0538962588503519
9220.0, -23613086.119164906, 41140308.81989747, -17398127.14162981, -3099.68591485509, 2526.608994721739, -2283.8492763549934, 0.07296837858350884, -0.12713051190700808, 0.05376311768431232
9240.0, -23675065.248521227, 41190815.59376771, -17443793.37802211, -3098.228349701649, 2524.0712957981464, -2282.77534202347, 0.07278833653182651, -0.12664011703272254, 0.05363046266030575
9260.0, -23737015.262556944, 41241271.71159097, -17489438.162239715, -3096.7743788095017, 2521.543375353823, -2281.704055944464, 0.07260895169526908, -0.1261526585475518, 0.05349829187255057
9280.0, -23798936.233025942, 41291677.368351094, -17535061.54715083, -3095.3239890602053, 2519.025174898145, -2280.635408452311, 0.07243022148918107, -0.12566811278728063, 0.05336660341667182
9300.0, -23860828.231420327, 41342032.7578663, -17580663.585430793, -3093.877167386983, 2516.516636411395, -2279.5693899194216, 0.07225214333106764, -0.1251864563260898, 0.05323539538988648
9320.0, -23922691.328971263, 41392338.072799385, -17626244.329562984, -3092.433900774701, 2514.017702339984, -2278.5059907562186, 0.07207471464083202, -0.12470766597368492, 0.053104665891179494
9340.0, -23984525.596650243, 41442593.504666954, -17671803.831838977, -3090.9941762598, 2511.5283155918296, -2277.445201411159, 0.07189793284101126, -0.12423171877246848, 0.0529744130214748
